timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715124582026,30499,SignIn,200,OK,Education 1-8,text,true,,492,353,500,3935,http://localhost:60968/authentication/authentication/signin,30498,0,2
1715124612549,859,AddEducation,200,OK,Education 1-8,text,true,,207,696,500,3986,http://localhost:60190/profile/profile/addEducation,859,0,0
1715124613409,1690,UpdateEducation,200,OK,Education 1-8,text,true,,218,734,500,4000,http://localhost:60190/profile/profile/updateEducation,1690,0,0
1715124615099,279,DeleteEducation,200,OK,Education 1-8,text,true,,218,594,500,4000,http://localhost:60190/profile/profile/deleteEducation,279,0,0
1715124615403,4,SignOut,200,OK,Education 1-8,text,true,,2021,120,500,4000,http://localhost:5000/Home,4,0,1
1715124581958,33522,SignIn,200,OK,Education 1-5,text,true,,492,352,499,3999,http://localhost:60968/authentication/authentication/signin,33522,0,35
1715124615482,887,AddEducation,200,OK,Education 1-5,text,true,,207,696,499,3999,http://localhost:60190/profile/profile/addEducation,887,0,1
1715124616370,1692,UpdateEducation,200,OK,Education 1-5,text,true,,218,734,499,3999,http://localhost:60190/profile/profile/updateEducation,1692,0,0
1715124618062,283,DeleteEducation,200,OK,Education 1-5,text,true,,218,594,499,3999,http://localhost:60190/profile/profile/deleteEducation,282,0,0
1715124618346,14,SignOut,200,OK,Education 1-5,text,true,,2021,120,499,3999,http://localhost:5000/Home,14,0,1
1715124581955,75089,SignIn,200,OK,Education 1-6,text,true,,492,352,498,3998,http://localhost:60968/authentication/authentication/signin,75089,0,41
1715124582048,74996,SignIn,200,OK,Certifications 2-3,text,true,,492,353,500,3998,http://localhost:60968/authentication/authentication/signin,74996,0,2
1715124657046,898,AddCertification,200,OK,Certifications 2-3,text,true,,207,672,500,3998,http://localhost:60190/profile/profile/addCertification,898,0,1
1715124657046,909,AddEducation,200,OK,Education 1-6,text,true,,207,696,498,3998,http://localhost:60190/profile/profile/addEducation,909,0,3
1715124657946,278,DeleteCertifiction,200,OK,Certifications 2-3,text,true,,213,597,500,3998,http://localhost:60190/profile/profile/deleteCertification,277,0,0
1715124658225,8,SignOut,200,OK,Certifications 2-3,text,true,,2021,120,500,3998,http://localhost:5000/Home,8,0,1
1715124657955,1701,UpdateEducation,200,OK,Education 1-6,text,true,,218,734,498,3997,http://localhost:60190/profile/profile/updateEducation,1701,0,0
1715124659657,284,DeleteEducation,200,OK,Education 1-6,text,true,,218,594,498,3997,http://localhost:60190/profile/profile/deleteEducation,284,0,0
1715124659943,10,SignOut,200,OK,Education 1-6,text,true,,2021,120,498,3997,http://localhost:5000/Home,10,0,2
1715124582111,89952,SignIn,200,OK,Certifications 2-4,text,true,,492,353,499,3996,http://localhost:60968/authentication/authentication/signin,89952,0,2
